datetime,method,cross_num,runtime,retry,min_rmse,min_min,min_max,min_std,max_rmse,max_min,max_max,max_std,mean_rmse,mean_min,mean_max,mean_std
2018-12-06 12:44:25.393623,Linear,5,66417,0,0.8667382515713618,0.0,5.722503249999988,0.7193852858089618,1.1903929208258417,5.00000000069889e-07,12.784292999999991,1.04631764269208,0.9699031572154784,2.6666666643748724e-07,8.682659469999994,0.8275077832631001
2018-12-06 12:44:25.460228,Previous,5,47992,0,1.1758124497011084,0.0,6.890000000000001,0.9614068942525502,1.806588695754433,0.0,20.630004999999983,1.6177278475692776,1.3944660786274963,0.0,11.634002199999998,1.1970851565386438
2018-12-06 12:44:25.508328,Next,5,48855,0,1.2856320818281062,0.0,7.780013999999966,1.0920578207217018,1.4188483868663362,0.0,14.740004999999968,1.2252462911003072,1.3389198758638319,0.0,11.316006399999997,1.140862281823905
2018-12-06 12:44:25.557324,Nearest,5,59482,0,1.155780642014548,0.0,7.660003999999958,0.9603825486262612,1.4251101285267471,0.0,14.740004999999968,1.2454521189126277,1.2470834206154466,0.0,10.476001599999995,1.0658936605014007
2018-12-06 12:44:25.616953,Quadratic Spline,5,73291,0,1.0683649408250813,4.8859620448427066e-05,6.953318924813104,0.8956668049651779,1.5088972484465266,0.0008211872749304128,17.683326154281502,1.3428767047174033,1.198521446369598,0.00027652816669339054,10.193795949606766,1.0255734372122092
2018-12-06 12:44:25.690529,Cubic Spline,5,62258,0,1.076729184744879,7.850012827348429e-05,7.373923957134451,0.9003549897742414,1.5329067744174796,0.00037589508450008857,17.739794613914086,1.3646029187827704,1.2138274649305243,0.00019197573781992716,10.255602340848975,1.0384483938325746
2018-12-06 12:44:25.752946,Linear Spline,5,57858,0,0.8667382515713616,0.0,5.722503250000003,0.7193852858089615,1.1903929208258408,5.00000000069889e-07,12.784292999999991,1.0463176426920788,0.9699031572154782,2.6666666639307837e-07,8.68265946999999,0.8275077832630997
2018-12-06 12:44:25.813736,Linear,5,57618,1,0.8720090773394615,2.220446049250313e-16,5.558007400000008,0.7198447234229265,0.942454487684865,0.0005355000000000221,7.372000600000035,0.8065250028941818,0.9074340144698612,0.00010721666666690943,6.373134633333348,0.7634309064490015
2018-12-06 12:44:25.871528,Previous,5,60799,1,1.2498917187840712,0.0,8.900001000000003,1.0563684505068038,1.328181101671602,0.0,11.380004999999983,1.1260230030779566,1.3094218996270328,0.0,10.068000600000005,1.106283864675336
2018-12-06 12:44:25.932477,Next,5,55355,1,1.2441888111001844,0.0,8.36000100000004,1.0549266301357951,1.474579153553147,0.0,20.630004999999983,1.2936316266824452,1.3373728490535377,0.0,12.204001200000011,1.142947937005542
2018-12-06 12:44:25.987982,Nearest,5,60523,1,1.1060036145289212,0.0,6.1799930000000245,0.920126890223933,1.2503933625914783,0.0007139999999998814,11.380004999999983,1.0732522365497927,1.200873707389429,0.00014279999999997628,9.377999800000008,1.0175006121484238
2018-12-06 12:44:26.048650,Quadratic Spline,5,68965,1,1.043818676725392,5.692793052958223e-06,7.037026546214548,0.8603420032357681,1.1357974323083317,0.00028057081800336725,10.226327394917035,0.9751389871330918,1.0971157070934399,0.00013475295797746867,7.944105929948506,0.9237964515617898
2018-12-06 12:44:26.117784,Cubic Spline,5,65708,1,1.0348769092485093,2.0857468066903806e-05,6.97852898848295,0.8493847841283538,1.1679799422022763,0.00034649936266362147,11.151368980873173,1.0071348594365446,1.118038944666604,0.00014484182811118628,8.431255401484211,0.9422303665962014
2018-12-06 12:44:26.183666,Linear Spline,5,56618,1,0.8720090773394618,2.220446049250313e-16,5.55800739999998,0.7198447234229258,0.9424544876848653,0.0005354999999998,7.372000600000035,0.8065250028941822,0.9074340144698612,0.0001072166666672203,6.373134633333336,0.7634309064490015
2018-12-06 12:44:26.243076,Linear,5,55555,2,0.8702145041999161,0.0,5.108002200000016,0.721697040687564,1.066799752343227,5.00000000069889e-07,9.954442666666665,0.9258181647195644,0.9756414521353692,3.500000000489223e-07,7.792818603333328,0.8308946030986528
2018-12-06 12:44:26.298778,Previous,5,54551,2,1.2875195758767295,0.0,9.529999000000004,1.0841901477743885,1.4293309134340613,0.0,14.740004999999968,1.2266606104534208,1.3617243849297935,0.0,11.599999799999988,1.1644927245200525
2018-12-06 12:44:26.353493,Next,5,62124,2,1.1473146987475644,0.0,8.650009000000011,0.9528317531935301,1.7738149864668364,0.0,21.240006000000022,1.588166696175072,1.392510117628748,0.0,13.560003600000016,1.1968027850305667
2018-12-06 12:44:26.415761,Nearest,5,59254,2,1.1539304315077765,0.0,6.940003000000019,0.973489419366628,1.3816339569488014,0.0,14.740004999999968,1.2194073636864615,1.2713431886116333,0.0,11.592002200000001,1.0915822008326252
2018-12-06 12:44:26.475171,Quadratic Spline,5,60567,2,1.0470298495340498,8.210404996877863e-05,7.142708260584186,0.868972644252691,1.5223124968172856,0.00039064424174029,16.337424267157104,1.3675699614282497,1.2166326927777806,0.00021492679573742457,11.308726645878044,1.0497194481016057
2018-12-06 12:44:26.535899,Cubic Spline,5,60983,2,1.0595955575667841,4.5675431471492445e-05,7.37670555485289,0.8795330283461411,2.747687146797818,0.00021267057439877668,44.780494166967145,2.63495589716038,1.4673264966504018,0.00013922219861703944,16.96805280255918,1.3080280359788365
2018-12-06 12:44:26.597037,Linear Spline,5,55192,2,0.8702145041999172,0.0,5.108002200000016,0.7216970406875647,1.0667997523432273,5.00000000069889e-07,9.954442666666665,0.9258181647195646,0.9756414521353698,3.500000000933312e-07,7.792818603333333,0.8308946030986528
